64.4734,21.2754
61.1344,25.595
50.5618,24.2598
21.4676,47.665
2.38197,22.9588
38.088,44.0077
41.6855,19.2566
18.9724,24.7981
60.5939,43.8304
15.9667,67.9235
0.211493,64.0654
19.7394,67.8295
52.822,51.2839
46.9237,7.87866
63.5527,69.3954
22.8434,5.89404
32.5358,2.22816
48.3123,47.5539
13.4394,41.7026
63.8731,57.3595
49.3121,13.9927
59.9957,11.85
51.6962,65.9667
56.6033,44.749
53.9543,18.9618
20.3995,38.7289
44.7063,52.2068
63.4352,53.4822
22.3649,22.9801
41.3202,34.8003
36.6674,15.7595
14.5717,14.3175
18.1607,57.5091
61.4762,14.6529
1.58086,51.3031
65.9496,29.5749
54.0419,35.5052
68.8101,63.9479
23.997,0.621662
55.909,43.0869
31.8992,1.09378
51.5467,66.2465
68.4982,4.14655
20.6345,43.9137
41.6962,2.94809
28.0026,33.6018
37.947,46.2102
18.3316,33.8133
39.0728,11.4441
15.1292,60.893
